the_geom,points_id,location_name,input_address,match_address,latitude,longitude,major_basin_name,minor_basin_name,aquifer_name,pfaf_id,gid_1,gid_0,name_0,name_1,month,bws_raw,bws_score,bws_cat,bws_label,bwd_raw,bwd_score,bwd_cat,bwd_label,iav_raw,iav_score,iav_cat,iav_label
0101000020E6100000E25817B7D1206040545227A089984140,1,Busan Buk,_,-,35.1917,129.0256,North and South Korea,Kumho-gang,,424102,KOR.1_1,KOR,South Korea,Busan,12,0.192238253668116,1.94289544790109,1,Low - Medium (10-20%),0.0468029503090224,0.936059006180448,0,Low (<5%),0.213439033259372,0.85375613303749,0,Low (<0.25)
0101000020E6100000E25817B7D1206040545227A089984140,1,Busan Buk,_,-,35.1917,129.0256,North and South Korea,Kumho-gang,,424102,KOR.1_1,KOR,South Korea,Busan,11,0.17760972644588,1.82871059019593,1,Low - Medium (10-20%),0.0436084639500863,0.872169279001727,0,Low (<5%),0.224065897641514,0.896263590566056,0,Low (<0.25)
0101000020E6100000E25817B7D1206040545227A089984140,1,Busan Buk,_,-,35.1917,129.0256,North and South Korea,Kumho-gang,,424102,KOR.1_1,KOR,South Korea,Busan,10,0.144961746158381,1.53567223880021,1,Low - Medium (10-20%),0.0353802512940481,0.707605025880964,0,Low (<5%),0.2415321114241,0.966128445696402,0,Low (<0.25)
0101000020E6100000E25817B7D1206040545227A089984140,1,Busan Buk,_,-,35.1917,129.0256,North and South Korea,Kumho-gang,,424102,KOR.1_1,KOR,South Korea,Busan,9,0.190061556093201,1.92646674638641,1,Low - Medium (10-20%),0.04079546157706,0.8159092315412,0,Low (<5%),0.363785762593896,1.45514305037558,1,Low - Medium (0.25-0.50)
0101000020E6100000E25817B7D1206040545227A089984140,1,Busan Buk,_,-,35.1917,129.0256,North and South Korea,Kumho-gang,,424102,KOR.1_1,KOR,South Korea,Busan,8,0.255401809668095,2.35276874739748,2,Medium - High (20-40%),0.0602186184074611,1.05109309203731,1,Low - Medium (5-25%),0.367597281700527,1.47038912680211,1,Low - Medium (0.25-0.50)
0101000020E6100000E25817B7D1206040545227A089984140,1,Busan Buk,_,-,35.1917,129.0256,North and South Korea,Kumho-gang,,424102,KOR.1_1,KOR,South Korea,Busan,7,0.259130699943465,2.37367994578613,2,Medium - High (20-40%),0.0651666340620905,1.07583317031045,1,Low - Medium (5-25%),0.347713404015378,1.39085361606151,1,Low - Medium (0.25-0.50)
0101000020E6100000E25817B7D1206040545227A089984140,1,Busan Buk,_,-,35.1917,129.0256,North and South Korea,Kumho-gang,,424102,KOR.1_1,KOR,South Korea,Busan,6,0.447806839330197,3.16287656256391,3,High (40-80%),0.133493625933231,1.41746812966615,1,Low - Medium (5-25%),0.283994002977347,1.13597601190939,1,Low - Medium (0.25-0.50)
0101000020E6100000E25817B7D1206040545227A089984140,1,Busan Buk,_,-,35.1917,129.0256,North and South Korea,Kumho-gang,,424102,KOR.1_1,KOR,South Korea,Busan,5,0.402322746226587,3.00835330629717,3,High (40-80%),0.109032488837988,1.29516244418994,1,Low - Medium (5-25%),0.22857231406021,0.914289256240841,0,Low (<0.25)
0101000020E6100000E25817B7D1206040545227A089984140,1,Busan Buk,_,-,35.1917,129.0256,North and South Korea,Kumho-gang,,424102,KOR.1_1,KOR,South Korea,Busan,4,0.242523945510354,2.27812719828342,2,Medium - High (20-40%),0.0611447139737,1.0557235698685,1,Low - Medium (5-25%),0.180612114029859,0.722448456119435,0,Low (<0.25)
0101000020E6100000E25817B7D1206040545227A089984140,1,Busan Buk,_,-,35.1917,129.0256,North and South Korea,Kumho-gang,,424102,KOR.1_1,KOR,South Korea,Busan,3,0.215635707671651,2.10859609745639,2,Medium - High (20-40%),0.0526130181587956,1.01306509079398,1,Low - Medium (5-25%),0.162189081431908,0.648756325727633,0,Low (<0.25)
